Variable,Mean,Median,Std Dev,Min,25%,75%,Max
Debt to GDP (%),84.14,83.18,37.25,20.0,51.96,115.91,149.94
External Debt to GDP (%),53.77,53.26,25.64,10.02,31.89,75.12,99.95
Debt Service to Exports (%),22.62,22.54,10.09,5.0,13.9,31.48,39.99
Real GDP Growth (%),-0.01,-0.19,5.81,-9.97,-5.1,5.2,10.0
GDP per Capita (USD),30566.24,31075.1,17131.57,315.07,16100.8,45091.3,59995.51
Inflation (%),48.62,48.31,30.38,-4.94,23.01,74.85,99.99
Fiscal Balance (% GDP),-2.2,-2.11,7.25,-15.0,-8.48,4.02,9.99
Primary Balance (% GDP),-2.22,-2.16,7.48,-17.79,-8.51,4.15,12.92
Current Account Balance (% GDP),-0.38,-0.34,11.39,-19.99,-10.13,9.26,19.99
Reserves (Months of Imports),6.25,6.24,3.33,0.5,3.31,9.11,12.0
Exchange Rate Change (%),24.42,24.83,43.26,-50.0,-12.9,61.34,99.97
Trade Openness (%),84.7,84.96,37.63,20.08,51.95,117.49,149.9
US Fed Funds Rate (%),7.09,7.5,4.07,0.3,3.45,9.27,14.65
World GDP Growth (%),1.32,0.96,2.64,-2.99,-0.61,3.71,5.79
Oil Price Index,114.57,119.23,35.7,51.37,82.99,150.0,169.55
VIX,46.77,45.08,20.88,11.92,30.08,66.5,79.12
Political Stability (ICRG),60.02,59.59,23.38,20.05,39.61,80.93,99.99
Election Year (Dummy),0.2,0.0,0.4,0.0,0.0,0.0,1.0
