Country,Year,Default,Debt_GDP,ExtDebt_GDP,DebtServ_XGDP,RealGDP_growth,GDP_per_capita_USD,Inflation,fiscal_balance,primary_balance,CurrentAccount_GDP,Reserves_months,ExchangeRate_change,Trade_openness,US_FedFundsRate,World_GDP_growth,Oil_price_index,VIX,ICRG_political,ElectionYear
Nigeria,1980,0,91.35162646,47.6185677,17.18807239,2.470156199,52258.64336,3.638548521,-11.67845629,-9.59866397,12.95423202,4.069993912,30.8007588,61.81516651,3.451559323,5.756658003,169.55174,32.81158324,45.93792675,0
Nigeria,1981,1,57.39225478,86.79563187,29.85734469,-2.845664701,46618.92789,88.66268475,-8.674211412,-10.88278778,11.27310851,2.65337916,-24.73000921,39.79002438,12.05653175,1.364647071,81.60370203,79.12146919,79.47095389,0
Nigeria,1982,0,59.88095794,87.05382598,17.73647923,6.888112246,5314.173233,86.26420072,-13.94680658,-16.73533988,14.58229961,1.836344424,17.7561088,148.3361501,7.198065902,2.261823532,134.4171841,70.79528819,61.76809482,0
Nigeria,1983,0,65.88460545,18.93138984,34.16460068,-0.934005227,53451.45911,99.78047879,-13.18472869,-13.81445617,9.984227463,1.077724341,99.2476721,117.0120163,9.154529613,3.712582867,80.07006716,67.79696022,93.11646195,0
Nigeria,1984,0,100.7680184,18.16487945,20.89947535,4.528827162,28464.49892,56.44422986,-8.915418018,-6.038768167,-15.17655136,9.172187351,-4.237572193,73.9222947,1.382301258,-0.131932723,92.75561376,45.07815843,72.02486175,0
Nigeria,1985,0,63.42649554,33.64259293,30.18454446,-8.089275847,44708.57005,73.87512183,-14.51176799,-16.84971463,0.662453059,3.212194488,-9.581034718,141.669136,3.07547375,-0.959336845,85.32219395,66.49612495,36.95172471,0
Nigeria,1986,0,115.2508766,88.72894563,8.760862575,-2.079513074,8660.342106,16.28055016,-8.864735198,-11.25442453,-2.230243168,0.778908764,-32.29911574,31.84525867,11.60036822,5.682166552,146.7507007,28.68087532,33.1846919,0
Nigeria,1987,0,72.58856012,21.60123266,34.61417149,9.664828729,40341.95568,65.09052591,1.374408077,2.881407141,-7.553936869,5.068612496,39.57135232,31.39595814,3.358626618,0.893538521,129.0093417,49.24546275,49.79074703,0
Nigeria,1988,0,28.88591604,74.79971224,30.75012954,6.16920579,14408.66325,63.22194912,-13.47232304,-14.59935287,13.36161639,6.049981427,-36.61595015,108.7186324,1.387947413,-2.985682561,158.1948719,37.50426429,47.75412322,0
Nigeria,1989,0,121.8887795,19.10490577,12.41008725,-6.801183953,26471.33956,89.62691726,-4.081583055,-2.777893352,-1.434431905,2.446147655,64.90120957,43.13636629,8.958049234,4.539464687,82.9915156,21.99393381,52.57054599,0
Nigeria,1990,0,57.1485822,66.08240684,10.08501034,-4.44471901,1306.713344,82.2332359,7.827719673,6.02778321,-17.58809595,1.006555866,87.88352715,139.228137,8.219047742,2.396977452,51.37228036,15.0829402,34.68728562,0
Nigeria,1991,1,76.25969435,42.04605692,16.07023221,-3.403683823,9351.155084,93.53897857,4.782120723,4.542552688,-9.001376651,2.674943056,89.78066668,129.2466927,9.118408935,-1.482972936,152.0764351,49.07528681,98.2578136,0
Nigeria,1992,0,109.1077048,81.00225667,39.16247051,3.00731121,5797.205439,86.22751463,-7.364062443,-8.772323176,-10.85515768,8.309681761,-33.81256207,59.82773913,9.274582445,-2.728742761,67.22809377,16.83473944,31.65678183,0
Nigeria,1993,0,63.21930043,31.03214039,13.98910511,5.13989519,14612.72712,86.21285896,8.12013698,7.829306269,15.49915539,1.445802288,33.7393896,135.5491457,7.502960188,-0.376658121,86.94578366,60.26021677,72.21190194,0
Nigeria,1994,0,27.3561353,67.52816465,20.96445231,4.990532176,6271.079974,1.690949302,-6.758837581,-5.144255026,5.897524026,6.882925851,-35.43352176,25.57539931,7.406608809,5.350983859,95.85292287,74.50279351,21.04553881,0
Nigeria,1995,0,68.60973611,31.21142811,6.0507079,0.197481126,41607.02859,83.82600503,-13.18711259,-11.61505295,2.415050635,2.183737861,35.80242122,91.32292086,13.86248348,5.40142053,162.0203138,21.34742768,52.55688307,0
